amt_price,heatedarea,hometype,fullbaths,halfbaths,District
410000,1066,Detached single-family,2,0,3
250000,1075,Detached single-family,1,0,3
305000,1700,Detached single-family,2,1,3
280000,1318,Detached single-family,2,0,3
240000,1326,Detached single-family,2,0,3
275500,1219,Detached single-family,1,0,3
177000,1115,Detached single-family,1,0,3
320000,1092,Detached single-family,1,0,3
400000,1092,Detached single-family,2,0,3
379000,1050,Detached single-family,2,0,3
149000,1105,Detached single-family,1,0,3
302000,1092,Detached single-family,1,0,3
257500,1568,Detached single-family,1,0,3
426000,1311,Detached single-family,2,0,3
70000,1656,Detached single-family,2,1,3
249500,1596,Detached single-family,2,0,3
265000,1088,Detached single-family,2,0,3
305000,1164,Detached single-family,2,0,3
140000,1884,Detached single-family,2,0,3
170000,900,Detached single-family,1,0,3
135000,626,Detached single-family,1,0,3
375000,1358,Detached single-family,2,1,3
245000,1054,Detached single-family,1,1,3
369000,1368,Detached single-family,2,0,3
275000,1302,Detached single-family,2,1,3
155000,1122,Detached single-family,1,0,3
266000,1017,Detached single-family,1,1,3
210000,792,Detached single-family,1,0,3
165000,788,Detached single-family,1,0,3
265000,1092,Detached single-family,1,0,3
180000,1112,Detached single-family,1,0,3
215000,1112,Detached single-family,1,1,3
270000,1166,Detached single-family,1,0,3
105000,1092,Detached single-family,1,0,3
264500,1174,Detached single-family,1,0,3
251000,1092,Detached single-family,1,0,3
375000,1092,Detached single-family,2,0,3
450000,1350,Detached single-family,2,0,3
140000,1092,Detached single-family,1,0,3
315000,1468,Detached single-family,2,1,3
320000,1468,Detached single-family,2,1,3
290000,1468,Detached single-family,2,1,3
291000,1468,Detached single-family,2,1,3
295000,1468,Detached single-family,2,1,3
235000,988,Detached single-family,1,0,3
485000,1919,Attached single-family,2,1,3
464000,1808,Attached single-family,2,1,3
480000,2021,Attached single-family,2,1,3
484000,1821,Attached single-family,2,1,3
458000,1836,Attached single-family,2,1,3
476500,1910,Attached single-family,2,1,3
419000,1844,Attached single-family,2,1,3
457500,1888,Attached single-family,2,1,3
481500,1924,Attached single-family,3,0,3
473000,1938,Attached single-family,3,0,3
489500,1952,Attached single-family,3,0,3
505000,1939,Attached single-family,3,0,3
531500,2021,Attached single-family,2,1,3
451000,1919,Attached single-family,2,1,3
516000,2021,Attached single-family,2,1,3
500000,1422,Detached single-family,1,0,3
500000,950,Detached single-family,1,0,3
750000,2177,Attached single-family,3,1,3
522000,1276,Attached single-family,2,1,3
530000,1302,Attached single-family,2,1,3
737500,2135,Attached single-family,3,1,3
750000,2051,Attached single-family,3,1,3
690000,2051,Attached single-family,3,1,3
675000,2033,Attached single-family,3,1,3
850000,2346,Detached single-family,3,1,1
1208000,3713,Detached single-family,4,0,1
925000,2747,Detached single-family,3,0,1
1735000,4184,Detached single-family,3,1,1
1430000,3302,Detached single-family,4,1,1
1800000,4412,Detached single-family,3,1,1
775000,1724,Detached single-family,2,0,1
1650000,3918,Detached single-family,2,1,1
1025000,2408,Detached single-family,2,1,1
764000,2370,Attached single-family,2,1,1
354000,1296,Attached single-family,2,1,1
348000,1277,Attached single-family,2,1,1
769000,2370,Attached single-family,2,1,1
769000,2370,Attached single-family,2,1,1
485000,950,Detached single-family,1,0,1
550000,720,Detached single-family,1,0,1
510000,4297,Detached single-family,3,1,1
1475000,3044,Detached single-family,4,0,1
1900000,4502,Detached single-family,4,1,1
1100000,2439,Detached single-family,3,0,1
550000,1044,Detached single-family,1,0,1
1752000,4702,Detached single-family,4,1,1
1495000,4108,Detached single-family,3,1,1
550000,997,Detached single-family,1,0,1
525000,1092,Detached single-family,1,1,1
1505000,4192,Detached single-family,5,0,1
720000,1616,Detached single-family,3,0,1
868500,2285,Detached single-family,3,0,1
860000,1827,Detached single-family,3,0,1
1361000,3924,Detached single-family,4,1,1
1684500,3968,Detached single-family,4,0,1
539500,1738,Detached single-family,1,0,1
1650000,3534,Detached single-family,4,0,1
1292000,3262,Detached single-family,3,0,1
685000,1469,Detached single-family,2,0,1
1801500,4596,Detached single-family,5,1,1
790000,1821,Detached single-family,2,0,1
524000,1550,Detached single-family,2,0,1
755000,1840,Detached single-family,2,0,1
830000,1624,Detached single-family,3,0,1
1500500,3393,Detached single-family,5,0,1
620000,1384,Detached single-family,2,0,1
2530000,4655,Detached single-family,3,1,1
660000,1244,Detached single-family,1,1,1
1300000,3070,Detached single-family,3,1,1
1250000,3077,Detached single-family,3,1,1
2075000,1624,Attached single-family,3,1,3
2075000,1600,Attached single-family,3,1,3
2075000,1600,Attached single-family,3,1,3
2075000,1600,Attached single-family,3,1,3
2075000,1600,Attached single-family,3,1,3
475000,1664,Attached single-family,3,1,3
467000,1696,Attached single-family,3,1,3
446000,1664,Attached single-family,3,1,3
452000,1664,Attached single-family,3,1,3
451000,1696,Attached single-family,3,1,3
451500,1664,Attached single-family,3,1,3
447000,1664,Attached single-family,3,1,3
467500,1664,Attached single-family,3,1,3
485500,1888,Attached single-family,4,1,3
450000,1636,Attached single-family,3,1,3
460500,1628,Attached single-family,3,1,3
456500,1888,Attached single-family,3,1,3
459000,1636,Attached single-family,3,1,3
453500,1628,Attached single-family,3,1,3
450000,1636,Attached single-family,3,1,3
474500,1628,Attached single-family,3,1,3
435000,1680,Attached single-family,3,1,3
401500,1392,Attached single-family,2,1,3
415000,1376,Attached single-family,2,1,3
411500,1392,Attached single-family,2,1,3
422500,1376,Attached single-family,2,1,3
492000,1600,Attached single-family,4,1,3
463500,1408,Attached single-family,3,1,3
468000,1376,Attached single-family,3,1,3
451500,1376,Attached single-family,3,1,3
461000,1632,Attached single-family,3,1,3
483000,1376,Attached single-family,3,1,3
300000,972,Detached single-family,1,0,3
569000,1677,Attached single-family,3,1,3
550000,1677,Attached single-family,2,2,3
569000,1677,Attached single-family,2,2,3
549000,1677,Attached single-family,2,2,3
705000,2465,Attached single-family,3,2,3
740000,2465,Attached single-family,3,2,3
445000,1000,Detached single-family,1,0,1
629000,1884,Detached single-family,2,0,1
430000,1404,Detached single-family,1,0,1
485000,1404,Detached single-family,2,0,1
516000,1161,Detached single-family,1,0,1
1570000,5522,Detached single-family,4,1,1
430000,1324,Detached single-family,1,1,1
480000,1141,Detached single-family,1,0,1
285000,1783,Detached single-family,1,0,1
445000,1250,Detached single-family,2,0,1
355000,1144,Detached single-family,1,0,1
515000,1657,Detached single-family,2,0,1
457000,1451,Detached single-family,1,1,1
645000,2312,Detached single-family,2,1,1
701000,1711,Detached single-family,1,1,1
362500,1225,Detached single-family,1,1,1
550000,1771,Detached single-family,2,0,1
455000,1975,Detached single-family,2,1,1
652000,2184,Detached single-family,2,0,1
555500,1900,Detached single-family,2,0,1
415000,1924,Detached single-family,2,0,1
485000,1309,Detached single-family,2,0,1
400000,1025,Detached single-family,1,0,1
400000,1125,Detached single-family,1,1,1
735500,1772,Detached single-family,2,0,1
853500,2791,Attached single-family,3,0,1
760000,1924,Detached single-family,2,1,1
515000,1615,Detached single-family,2,1,1
375000,1331,Detached single-family,2,0,1
665000,1269,Detached single-family,2,0,1
615000,2162,Detached single-family,2,1,1
788000,2150,Detached single-family,2,1,1
815000,2308,Detached single-family,2,1,1
1242000,2900,Detached single-family,4,0,1
1596000,3569,Detached single-family,4,0,1
749000,1966,Detached single-family,3,0,1
515000,1663,Attached single-family,2,1,1
525000,1556,Detached single-family,3,0,1
705000,2182,Detached single-family,2,1,1
695000,1598,Detached single-family,2,0,1
1000000,3606,Detached single-family,3,1,1
482000,1211,Detached single-family,1,1,1
217500,1498,Detached single-family,1,1,1
402000,960,Detached single-family,2,0,1
360000,912,Detached single-family,1,0,1
360000,1075,Detached single-family,1,0,1
370000,1050,Detached single-family,1,0,1
350000,1045,Detached single-family,1,0,1
450000,1183,Detached single-family,1,1,1
390000,1282,Detached single-family,1,0,1
965000,2868,Detached single-family,2,1,1
525000,1308,Detached single-family,1,0,1
376500,1285,Detached single-family,1,1,1
750000,3096,Detached single-family,3,0,1
530000,2566,Detached single-family,3,1,1
480000,1427,Detached single-family,1,1,1
710000,1960,Detached single-family,3,0,1
690000,1815,Detached single-family,1,1,1
850000,2844,Detached single-family,3,1,1
430000,1604,Attached single-family,2,1,1
432000,1619,Attached single-family,2,1,1
576000,1277,Detached single-family,2,0,1
450000,1392,Detached single-family,2,0,1
760000,1607,Detached single-family,2,0,1
465000,1170,Detached single-family,1,0,1
590000,1457,Detached single-family,1,1,1
415000,1202,Detached single-family,1,1,1
550000,1346,Detached single-family,1,1,1
490000,1280,Detached single-family,2,0,1
550000,2484,Detached single-family,2,0,1
670000,1565,Detached single-family,2,0,1
1616500,3967,Detached single-family,4,0,1
605000,1856,Detached single-family,3,0,1
1671500,4123,Detached single-family,4,1,1
585000,1867,Detached single-family,2,0,1
520000,1748,Detached single-family,2,0,1
853000,2363,Detached single-family,2,1,1
565000,1786,Detached single-family,2,0,1
